SalesOrderID;OrderDate;Status;OnlineOrderFlag;TerritoryID;TotalDue;Name;Group
43697;30-05-2011;5;true;6;3953.9884;Canada;North America
43698;30-05-2011;5;true;7;3756.9890;France;Europe
43699;30-05-2011;5;true;1;3756.9890;Northwest;North America
43700;30-05-2011;5;true;4;772.5036;Southwest;North America
43701;30-05-2011;5;true;9;3756.9890;Australia;Pacific
43702;31-05-2011;5;true;4;3953.9884;Southwest;North America
43703;31-05-2011;5;true;9;3953.9884;Australia;Pacific
43704;31-05-2011;5;true;9;3729.3640;Australia;Pacific
43705;31-05-2011;5;true;9;3756.9890;Australia;Pacific
43706;01-06-2011;5;true;4;3953.9884;Southwest;North America
43707;01-06-2011;5;true;4;3953.9884;Southwest;North America
43708;01-06-2011;5;true;10;772.5036;United Kingdom;Europe
43709;01-06-2011;5;true;9;3953.9884;Australia;Pacific
43710;01-06-2011;5;true;9;3953.9884;Australia;Pacific
43711;02-06-2011;5;true;1;3953.9884;Northwest;North America
43712;02-06-2011;5;true;8;3953.9884;Germany;Europe
43713;03-06-2011;5;true;4;3953.9884;Southwest;North America
43714;03-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43715;03-06-2011;5;true;9;3953.9884;Australia;Pacific
43716;03-06-2011;5;true;9;3953.9884;Australia;Pacific
43717;03-06-2011;5;true;9;772.5036;Australia;Pacific
43718;04-06-2011;5;true;1;3953.9884;Northwest;North America
43719;04-06-2011;5;true;4;3953.9884;Southwest;North America
43720;04-06-2011;5;true;8;3953.9884;Germany;Europe
43721;04-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43722;05-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43723;05-06-2011;5;true;1;772.5036;Northwest;North America
43724;05-06-2011;5;true;9;3953.9884;Australia;Pacific
43725;06-06-2011;5;true;8;3953.9884;Germany;Europe
43726;06-06-2011;5;true;4;772.5036;Southwest;North America
43727;06-06-2011;5;true;9;3953.9884;Australia;Pacific
43728;07-06-2011;5;true;4;3953.9884;Southwest;North America
43729;07-06-2011;5;true;10;3756.9890;United Kingdom;Europe
43730;07-06-2011;5;true;4;3756.9890;Southwest;North America
43731;07-06-2011;5;true;9;3953.9884;Australia;Pacific
43732;07-06-2011;5;true;9;3729.3640;Australia;Pacific
43733;07-06-2011;5;true;1;3953.9884;Northwest;North America
43734;08-06-2011;5;true;1;3953.9884;Northwest;North America
43735;08-06-2011;5;true;9;3953.9884;Australia;Pacific
43736;08-06-2011;5;true;9;3756.9890;Australia;Pacific
43737;09-06-2011;5;true;8;3953.9884;Germany;Europe
43738;09-06-2011;5;true;7;3953.9884;France;Europe
43739;09-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43740;09-06-2011;5;true;9;3953.9884;Australia;Pacific
43741;10-06-2011;5;true;1;3953.9884;Northwest;North America
43742;10-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43743;10-06-2011;5;true;9;3756.9890;Australia;Pacific
43744;10-06-2011;5;true;9;3953.9884;Australia;Pacific
43745;11-06-2011;5;true;9;3953.9884;Australia;Pacific
43746;11-06-2011;5;true;9;3953.9884;Australia;Pacific
43747;12-06-2011;5;true;4;3953.9884;Southwest;North America
43748;12-06-2011;5;true;1;3953.9884;Northwest;North America
43749;12-06-2011;5;true;1;3953.9884;Northwest;North America
43750;12-06-2011;5;true;7;3953.9884;France;Europe
43751;12-06-2011;5;true;7;3953.9884;France;Europe
43752;12-06-2011;5;true;8;3953.9884;Germany;Europe
43753;12-06-2011;5;true;9;3953.9884;Australia;Pacific
43754;13-06-2011;5;true;1;3953.9884;Northwest;North America
43755;13-06-2011;5;true;4;3953.9884;Southwest;North America
43756;13-06-2011;5;true;10;772.5036;United Kingdom;Europe
43757;13-06-2011;5;true;9;3729.3640;Australia;Pacific
43758;14-06-2011;5;true;4;3953.9884;Southwest;North America
43759;14-06-2011;5;true;8;3953.9884;Germany;Europe
43760;14-06-2011;5;true;9;3953.9884;Australia;Pacific
43761;14-06-2011;5;true;9;3953.9884;Australia;Pacific
43762;15-06-2011;5;true;4;3953.9884;Southwest;North America
43763;15-06-2011;5;true;9;3953.9884;Australia;Pacific
43764;15-06-2011;5;true;9;3953.9884;Australia;Pacific
43765;15-06-2011;5;true;9;3756.9890;Australia;Pacific
43766;16-06-2011;5;true;9;3953.9884;Australia;Pacific
43767;16-06-2011;5;true;9;3729.3640;Australia;Pacific
43768;17-06-2011;5;true;1;3953.9884;Northwest;North America
43769;17-06-2011;5;true;6;3953.9884;Canada;North America
43770;17-06-2011;5;true;1;3953.9884;Northwest;North America
43771;17-06-2011;5;true;4;772.5036;Southwest;North America
43772;17-06-2011;5;true;9;3953.9884;Australia;Pacific
43773;17-06-2011;5;true;9;3953.9884;Australia;Pacific
43774;17-06-2011;5;true;9;3953.9884;Australia;Pacific
43775;17-06-2011;5;true;9;3756.9890;Australia;Pacific
43776;18-06-2011;5;true;8;3953.9884;Germany;Europe
43777;18-06-2011;5;true;9;3953.9884;Australia;Pacific
43778;18-06-2011;5;true;9;3756.9890;Australia;Pacific
43779;18-06-2011;5;true;9;772.5036;Australia;Pacific
43780;19-06-2011;5;true;7;3953.9884;France;Europe
43781;19-06-2011;5;true;9;3953.9884;Australia;Pacific
43782;19-06-2011;5;true;9;3953.9884;Australia;Pacific
43783;19-06-2011;5;true;9;3953.9884;Australia;Pacific
43784;20-06-2011;5;true;4;3953.9884;Southwest;North America
43785;20-06-2011;5;true;7;3953.9884;France;Europe
43786;20-06-2011;5;true;7;3953.9884;France;Europe
43787;20-06-2011;5;true;8;3756.9890;Germany;Europe
43788;20-06-2011;5;true;10;3729.3640;United Kingdom;Europe
43789;20-06-2011;5;true;1;3729.3640;Northwest;North America
43790;20-06-2011;5;true;1;3756.9890;Northwest;North America
43791;20-06-2011;5;true;9;3953.9884;Australia;Pacific
43792;20-06-2011;5;true;9;3953.9884;Australia;Pacific
43793;20-06-2011;5;true;9;3756.9890;Australia;Pacific
43794;20-06-2011;5;true;9;3756.9890;Australia;Pacific
43795;21-06-2011;5;true;4;3953.9884;Southwest;North America
43796;21-06-2011;5;true;7;772.5036;France;Europe
43797;21-06-2011;5;true;9;3953.9884;Australia;Pacific
43798;21-06-2011;5;true;9;3953.9884;Australia;Pacific
43799;21-06-2011;5;true;9;3953.9884;Australia;Pacific
43800;22-06-2011;5;true;6;3953.9884;Canada;North America
43801;22-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43802;22-06-2011;5;true;7;3953.9884;France;Europe
43803;23-06-2011;5;true;6;3953.9884;Canada;North America
43804;23-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43805;23-06-2011;5;true;1;772.5036;Northwest;North America
43806;23-06-2011;5;true;9;3953.9884;Australia;Pacific
43807;24-06-2011;5;true;7;3953.9884;France;Europe
43808;24-06-2011;5;true;8;3953.9884;Germany;Europe
43809;24-06-2011;5;true;9;3953.9884;Australia;Pacific
43810;24-06-2011;5;true;9;3756.9890;Australia;Pacific
43811;24-06-2011;5;true;9;3756.9890;Australia;Pacific
43812;25-06-2011;5;true;4;3953.9884;Southwest;North America
43813;25-06-2011;5;true;7;3729.3640;France;Europe
43814;25-06-2011;5;true;1;3729.3640;Northwest;North America
43815;25-06-2011;5;true;9;3953.9884;Australia;Pacific
43816;25-06-2011;5;true;9;3953.9884;Australia;Pacific
43817;25-06-2011;5;true;9;3953.9884;Australia;Pacific
43818;25-06-2011;5;true;9;3953.9884;Australia;Pacific
43819;25-06-2011;5;true;9;3756.9890;Australia;Pacific
43820;26-06-2011;5;true;4;3953.9884;Southwest;North America
43821;26-06-2011;5;true;4;3953.9884;Southwest;North America
43822;26-06-2011;5;true;4;3953.9884;Southwest;North America
43823;26-06-2011;5;true;10;772.5036;United Kingdom;Europe
43824;26-06-2011;5;true;1;772.5036;Northwest;North America
43825;26-06-2011;5;true;9;3953.9884;Australia;Pacific
43826;26-06-2011;5;true;9;3729.3640;Australia;Pacific
43827;26-06-2011;5;true;9;772.5036;Australia;Pacific
43828;27-06-2011;5;true;1;3953.9884;Northwest;North America
43829;27-06-2011;5;true;4;3953.9884;Southwest;North America
43830;27-06-2011;5;true;9;3953.9884;Australia;Pacific
43831;27-06-2011;5;true;9;3729.3640;Australia;Pacific
43832;27-06-2011;5;true;10;3953.9884;United Kingdom;Europe
43833;28-06-2011;5;true;6;3953.9884;Canada;North America
43834;28-06-2011;5;true;7;3729.3640;France;Europe
43835;28-06-2011;5;true;6;3729.3640;Canada;North America
43836;28-06-2011;5;true;6;772.5036;Canada;North America
43837;28-06-2011;5;true;9;3729.3640;Australia;Pacific
43838;29-06-2011;5;true;4;3953.9884;Southwest;North America
43839;29-06-2011;5;true;1;3953.9884;Northwest;North America
43840;29-06-2011;5;true;7;772.5036;France;Europe
43841;29-06-2011;5;true;8;3953.9884;Germany;Europe
43842;29-06-2011;5;true;9;3953.9884;Australia;Pacific
43918;30-06-2011;5;true;6;3953.9884;Canada;North America
43919;30-06-2011;5;true;7;3953.9884;France;Europe
43920;30-06-2011;5;true;4;3953.9884;Southwest;North America
43921;30-06-2011;5;true;9;3953.9884;Australia;Pacific
43922;30-06-2011;5;true;8;3953.9884;Germany;Europe
43923;01-07-2011;5;true;4;3953.9884;Southwest;North America
43924;01-07-2011;5;true;7;3953.9884;France;Europe
43925;01-07-2011;5;true;9;3953.9884;Australia;Pacific
43926;02-07-2011;5;true;9;3729.3640;Australia;Pacific
43927;02-07-2011;5;true;9;3953.9884;Australia;Pacific
43928;02-07-2011;5;true;9;3953.9884;Australia;Pacific
43929;02-07-2011;5;true;9;772.5036;Australia;Pacific
43930;03-07-2011;5;true;4;3953.9884;Southwest;North America
43931;03-07-2011;5;true;8;3953.9884;Germany;Europe
43932;03-07-2011;5;true;9;3953.9884;Australia;Pacific
43933;03-07-2011;5;true;9;3756.9890;Australia;Pacific
43934;03-07-2011;5;true;9;3756.9890;Australia;Pacific
43935;04-07-2011;5;true;10;772.5036;United Kingdom;Europe
43936;04-07-2011;5;true;4;3953.9884;Southwest;North America
43937;04-07-2011;5;true;9;3953.9884;Australia;Pacific
43938;04-07-2011;5;true;9;3953.9884;Australia;Pacific
43939;04-07-2011;5;true;9;3953.9884;Australia;Pacific
43940;04-07-2011;5;true;9;772.5036;Australia;Pacific
43941;05-07-2011;5;true;10;3953.9884;United Kingdom;Europe
43942;05-07-2011;5;true;9;3953.9884;Australia;Pacific
43943;05-07-2011;5;true;4;772.5036;Southwest;North America
43944;05-07-2011;5;true;9;3756.9890;Australia;Pacific
43945;05-07-2011;5;true;9;3953.9884;Australia;Pacific
43946;05-07-2011;5;true;9;3953.9884;Australia;Pacific
43947;05-07-2011;5;true;9;3953.9884;Australia;Pacific
43948;05-07-2011;5;true;9;3756.9890;Australia;Pacific
43949;06-07-2011;5;true;4;3953.9884;Southwest;North America
43950;06-07-2011;5;true;4;3953.9884;Southwest;North America
43951;06-07-2011;5;true;9;3953.9884;Australia;Pacific
43952;06-07-2011;5;true;9;3953.9884;Australia;Pacific
43953;07-07-2011;5;true;10;772.5036;United Kingdom;Europe
43954;07-07-2011;5;true;10;3953.9884;United Kingdom;Europe
43955;07-07-2011;5;true;10;3953.9884;United Kingdom;Europe
43956;07-07-2011;5;true;9;3756.9890;Australia;Pacific
43957;08-07-2011;5;true;4;3953.9884;Southwest;North America
43958;08-07-2011;5;true;9;3953.9884;Australia;Pacific
43959;08-07-2011;5;true;9;3729.3640;Australia;Pacific
43960;08-07-2011;5;true;9;3729.3640;Australia;Pacific
43961;09-07-2011;5;true;4;3953.9884;Southwest;North America
43962;09-07-2011;5;true;4;3953.9884;Southwest;North America
43963;09-07-2011;5;true;9;3953.9884;Australia;Pacific
43964;09-07-2011;5;true;9;3953.9884;Australia;Pacific
43965;09-07-2011;5;true;9;3729.3640;Australia;Pacific
43966;09-07-2011;5;true;9;3756.9890;Australia;Pacific
43967;10-07-2011;5;true;1;3953.9884;Northwest;North America
43968;10-07-2011;5;true;4;3953.9884;Southwest;North America
43969;10-07-2011;5;true;4;3953.9884;Southwest;North America
43970;10-07-2011;5;true;9;3953.9884;Australia;Pacific
43971;10-07-2011;5;true;9;3953.9884;Australia;Pacific
43972;11-07-2011;5;true;6;3953.9884;Canada;North America
43973;11-07-2011;5;true;4;3953.9884;Southwest;North America
43974;11-07-2011;5;true;10;3953.9884;United Kingdom;Europe
43975;11-07-2011;5;true;8;3953.9884;Germany;Europe
43976;11-07-2011;5;true;4;3953.9884;Southwest;North America
43977;11-07-2011;5;true;9;3953.9884;Australia;Pacific
43978;12-07-2011;5;true;1;3953.9884;Northwest;North America
43979;12-07-2011;5;true;1;772.5036;Northwest;North America
43980;12-07-2011;5;true;9;3729.3640;Australia;Pacific
43981;12-07-2011;5;true;9;3953.9884;Australia;Pacific
43982;12-07-2011;5;true;9;772.5036;Australia;Pacific
43983;13-07-2011;5;true;1;3953.9884;Northwest;North America
43984;13-07-2011;5;true;8;3953.9884;Germany;Europe
43985;13-07-2011;5;true;8;3953.9884;Germany;Europe
43986;13-07-2011;5;true;4;3953.9884;Southwest;North America
43987;14-07-2011;5;true;4;3953.9884;Southwest;North America
43988;14-07-2011;5;true;10;3756.9890;United Kingdom;Europe
43989;14-07-2011;5;true;4;3953.9884;Southwest;North America
43990;14-07-2011;5;true;1;3756.9890;Northwest;North America
43991;14-07-2011;5;true;9;3953.9884;Australia;Pacific
